,REGNO
1099,23SU2400035
2102,23SU2400038
2084,23SU2400040
1676,23SU2400044
1098,23SU2400045
1762,23SU2400048
2040,23SU2400052
1468,23SU2400063
1030,23SU2400066
737,23SU2400069
747,23SU2400073
1993,23SU2400077
1961,23SU2400085
1048,23SU2400087
1100,23SU2400092
1776,23SU2400093
1808,23sv2130015
2119,23u2340011
1282,24AP0010001
1285,24AP0010002
1733,24AP0010006
2225,24AP0020006
2223,24ap0020007
1737,24AP0020007
1734,24AP0030001
2001,24ar9010005
694,24AU0010002
26,24AU0010004
1379,24AU0010006
67,24AU0010010
1670,24AU00100151
112,24AU0010016
557,24AU0010030
1161,24AU0010035
986,24AU0010038
681,24au0010042
1890,24au0010044
843,24AU0010049
400,24au0010053
1014,24AU0010060
798,24AU0010067
715,24AU0010068
1224,24AU0010071
659,24AU0010072
827,24AU0010073
830,24AU0010077
1929,24AU0010081
720,24AU0010084
799,24AU0010087
656,24AU0010094
666,24AU0010096
1109,24AU0010099
825,24AU0010100
1475,24AU0010101
1204,24AU0010102
1313,24AU0010106
945,24AU0010108
572,24AU0010113
587,24AU0010116
1351,24AU0010119
950,24AU0010126
675,24AU0010129
404,24AU0010131
2276,24AU0010132
677,24AU0010135
618,24AU0010136
1042,24AU0010140
1051,24AU0010146
2275,24au0010148
384,24AU0010148
2274,24au0010149
1867,24AU0010153
948,24au0010154
1631,24AU0010158
752,24AU0020001
679,24AU0020002
804,24AU0020003
685,24AU0020004
1199,24AU0020007
947,24AU0020012
816,24AU0020015
749,24AU0020016
11,24AU0020018
692,24AU0020027
683,24AU0020032
1570,24AU0020045
2205,24au0020050
105,24AU0020052
897,24AU0020061
1353,24au0020062
898,24AU0020063
938,24AU0020071
1707,24AU0020072
815,24AU0020073
559,24AU0020077
960,24AU0020081
912,24AU0020084
193,24AU0020085
896,24AU0020088
955,24AU0020089
546,24AU0020092
1022,24AU0020096
584,24AU0020099
1347,24AU0020106
131,24AU0020108
826,24AU0020113
2159,24AU0020116
616,24au0020117
1228,24AU0020119
1556,24AU0020121
202,24AU0020126
1352,24AU0020134
1422,24C02170026
820,24CP2160002
2202,24CP2160003
1443,24CP2160007
824,24CP2160008
846,24CP2160014
506,24CP2160020
836,24CP2160023
1272,24CP2160024
1271,24CP2160025
295,24cp2160031
1013,24CP2160036
1446,24CP2160037
879,24CP2160038
445,24CP2160043
1444,24CP2160045
499,24CP2160046
497,24CP2170002
1254,24CP2170003
1186,24CP2170004
684,24CP2170005
1728,24CP2170007
2204,24CP2170009
1005,24CP2170015
501,24CP2170016
682,24CP2170017
1080,24CP2170018
498,24Cp2170020
2203,24CP2170022
1010,24CP2170025
1966,24cp2170027
1181,24CP2180005
1179,24CP2180006
1405,24CP2180007
1296,24CP2180009
1730,24CP2180011
1007,24CP2180013
1183,24CP2180015
891,24CP2180018
970,24CP2180019
1963,24CP2180025
738,24CP2180028
745,24CP2180032
492,24CP2180033
1965,24CP2180034
1496,24CP2180036
760,24CP2180040
343,24CP2190003
340,24CP2190004
348,24CP2190010
149,24CP2190013
2145,24CP2190015
570,24CP2190019
588,24CP2190021
1336,24CP2210007
2296,24CP2210010
120,24CP2210012
121,24CP2210013
117,24CP2210018
962,24CU030073
2187,24cu0310001
464,24CU0310003
371,24CU0310007
2211,24cu031001
141,24CU0310010
1170,24CU0310013
1006,24CU0310016
899,24CU0310017
56,24CU0310019
1140,24CU0310020
115,24CU0310024
1143,24CU0310026
212,24CU0310028
54,24CU0310029
1742,24CU0310030
1741,24CU0310031
275,24cu0310034
233,24CU0310035
253,24CU0310039
1134,24CU0310040
823,24CU0310043
818,24CU0310044
93,24CU0310045
887,24CU0310046
208,24CU0310047
469,24CU0310049
1873,24CU0310050
204,24CU0310052
564,24CU0310053
205,24CU0310060
1436,24CU0310065
736,24CU0310066
1428,24CU0310069
427,24CU0310077
1325,24CU0310085
86,24CU0310090
42,24CU0310091
800,24CU0310092
194,24CU0310096
1368,24CU0310097
1176,24CU0310104
1882,24CU0310105
992,24CU0310108
1035,24CU0310110
592,24cu0310111
585,24CU0310113
321,24CU0310116
1011,24CU0310117
793,24CU0310118
1234,24CU0310123
320,24CU0310124
1792,24CU0310132
1473,24CU0310133
1463,24CU0310134
2096,24cu0310135
577,24CU0310135
850,24CU0310137
845,24CU0310139
852,24cU0310143
853,24CU0310143
1235,24CU0310144
519,24CU0310145
1472,24CU0310146
1503,24CU0310148
544,24CU0310149
709,24CU0310151
429,24CU0310153
522,24CU0310157
515,24CU0310158
856,24CU0310168
847,24CU0310172
1791,24CU0310177
2316,24CU0310178
160,24CU0310185
1255,24CU0310186
713,24CU0310187
1242,24CU0310188
1703,24CU0310194
1141,24CU0310196
486,24CU0310206
456,24CU0310214
1618,24CU0310216
1616,24CU0310221
1617,24CU0310224
661,24CU0310225
678,24CU0310228
1249,24CU0310230
1887,24CU0310231
481,24cu0310234
2131,24cu0310235
376,24CU0310235
269,24CU0310236
491,24CU0310237
2324,24cu0310240
1504,24CU0310240
966,24CU0310241
1008,24CU0310248
1076,24cu0310249
2323,24CU0310249
2020,24cu0310251
2322,24cu0310252
1699,24CU0310252
1445,24CU0310253
1240,24CU0310257
910,24CU0310264
641,24CU0310266
645,24cu0310267
1133,24CU0320001
1594,24CU0320003
903,24CU0320005
17,24CU0320006
784,24CU0320009
1137,24CU0320010
1130,24CU0320011
914,24CU0320012
1573,24CU0320013
695,24CU0320014
171,24CU0320015
48,24CU0320016
2078,24CU0320017
941,24CU0320018
75,24CU0320019
908,24CU0320023
1277,24CU0320024
1138,24CU0320026
1129,24CU0320027
909,24CU0320028
74,24CU0320029
680,24CU0320031
382,24CU0320034
73,24CU0320036
2012,24CU0320037
68,24CU0320038
173,24CU0320040
201,24CU0320041
900,24CU0320042
783,24CU0320043
504,24CU0320047
229,24CU0320048
18,24CU0320049
14,24CU0320053
15,24CU0320054
44,24CU0320056
1000,24CU0320057
280,24CU0320059
835,24CU0320062
972,24CU0320063
1237,24CU0320064
840,24CU0320065
1577,24CU0320068
1248,24CU0320069
1110,24CU0320070
1361,24CU0320071
1576,24CU0320072
832,24CU0320077
1155,24CU0320078
1187,24CU0320083
1550,24cu0320084
1548,24CU0320085
2191,24CU0320086
1565,24CU0320090
791,24CU0320092
906,24CU0320096
1020,24CU0320097
1065,24CU0320098
1184,24CU0320099
1152,24CU0320100
1246,24CU0320102
991,24CU0320103
2190,24cu0320123
2301,24CU0320123
168,24CU0320133
1193,24CU0330004
1157,24CU0330008
2311,24CU0330009
2313,24CU0330010
294,24CU0330012
1190,24CU0330013
476,24CU0330015
1328,24CU0330019
1068,24CU0330021
627,24CU0330022
1177,24CU0330024
2262,24CU0330025
1220,24cu0330027
1162,24CU0330028
82,24CU0330030
21,24CU0330033
2011,24cu0330034
1273,24CU0330034
317,24CU0330037
2261,24CU0330048
2163,24cu0330052
1375,24CU0330052
24,24CU0330053
1535,24CU0330055
1769,24CU0330065
315,24CU0330066
359,24CU033044
2136,24CU0340002
353,24CU0340004
306,24CU0340007
416,24CU0340011
236,24CU0340012
1238,24CU0340014
2315,24CU0340015
228,24CU0340020
635,24CU0340021
1243,24CU0340027
1244,24CU0340030
1168,24CU0390001
1906,24CU0390002
2009,24cu0390004
2037,24cu0390005
511,24CU0390005
1031,24CU0390006
13,24CU0390007
136,24CU0390008
622,24CU0390009
199,24CU0390013
636,24CU0390014
516,24CU0390015
200,24CU0390016
1127,24CU0390017
77,24CU0390018
1853,24CU0390019
1331,24CU0390020
337,24CU0390021
215,24CU0390023
211,24CU0390024
625,24CU0390025
368,24CU0390027
365,24CU0390028
1290,24CU0390029
435,24CU0390030
1113,24CU0390032
696,24CU0390033
1102,24CU0390035
838,24CU0390036
2038,24cu0390039
341,24CU0390039
2158,24cu039004
1122,24cu0390040
2042,24cu0390041
332,24CU0390041
1209,24CU0390046
1128,24CU0390049
2270,24CU0390050
203,24CU0390051
217,24CU0390052
2162,24CU0390055
926,24CU0390056
2013,24cu0390058
929,24CU0390059
1411,24CU0390062
2008,24cu0390063
1407,24CU0390063
1800,24cu0390064
1111,24CU0390065
2043,24cu0390066
889,24CU0390066
1106,24CU0390067
634,24cu0390068
534,24CU0390070
2271,24cu0390071
1905,24CU0390072
327,24CU0390073
221,24CU0390074
2273,24cu090062
2269,24cu090065
1794,24CU310255
2304,24cu390009
937,24CU3910001
1542,24CU3910003
1258,24CU3910004
725,24CU3910005
1259,24CU3910008
500,24CU3910009
1549,24CU3910012
1456,24CU3910014
1657,24CU3910016
1096,24CU3910017
628,24CU3910020
1083,24CU3910023
1092,24CU3910025
441,24CU3910026
583,24CU3910027
1403,24CU391007
905,24DU1810002
608,24DU1810003
1852,24DU1810007
596,24DU1810009
1066,24DU1810010
621,24DU1810013
617,24DU1810014
1070,24DU1810015
1930,24du1810016
614,24DU1810017
351,24du1820001
338,24DU1820002
809,24DU1820003
23,24DU1830002
690,24DU1830003
1964,24DU1830010
19,24DU1830011
885,24DU1830012
1280,24DU1830013
35,24DU1830015
884,24DU1830018
25,24DU1830019
166,24DU1830020
619,24DU1830023
1253,24DU1830024
407,24DU1840006
475,24DU1840008
95,24DU1840009
102,24DU1840011
101,24DU1840013
778,24DU1840020
863,24DU2330033
296,24EU0610002
372,24EU0610004
176,24EU0610005
1315,24EU0610006
1004,24EU0610007
346,24EU0610009
674,24EU0610012
958,24EU0610013
1185,24EU0610016
961,24EU0610019
374,24EU0610023
977,24EU0610026
633,24EU0610028
968,24EU0610030
2108,24eu0610031
355,24EU0610031
2087,24eu0610032
1599,24EU0610032
2167,24eu0610035
1753,24EU0610038
1632,24EU0610039
2168,24EU0610040
932,24EU0630001
1028,24EU0630004
103,24EU0630006
2125,24eu063003
1245,24EU0650002
363,24EU0650003
925,24EU0650004
1453,24EU0650007
98,24EU065008
50,24GP1510003
1132,24GP1510004
1084,24GP1510005
771,24GP1510006
391,24GP1510019
1222,24GP1510022
2228,24gp1510024
560,24GP1510027
256,24GP1510028
2170,24GP1510032
927,24GP1510035
1147,24GP1510036
254,24GP1510048
1201,24GP1510049
558,24GP1510050
963,24GP1510061
956,24GP1510063
1044,24GP1510064
580,24GP1510065
813,24GP1510067
817,24GP1510068
556,24GP1510069
630,24GP1510070
1481,24GP1510071
780,24GP1510072
1043,24GP1510076
257,24GP1510083
305,24GP1510084
763,24GP1510085
258,24GP1510087
597,24GP1510089
775,24GP1510090
27,24GP1510094
1146,24GP1510104
1124,24GP1510107
1126,24GP1510111
698,24gp1510114
1666,24GP1510115
638,24GP1510118
626,24GP1510119
1295,24GP1510130
270,24GP1510134
643,24GP1510135
758,24GP1510139
285,24GP1540004
283,24GP1540006
417,24GP1540009
274,24GP1540012
2114,24gp1540014
425,24GP1540014
349,24GP1540016
1946,24GP1540018
263,24GP1540024
1095,24GP1540026
1438,24GP1540031
1814,24GP1540032
1809,24GP1540033
767,24GP1540039
324,24GP1540040
773,24GP1540049
502,24GP1540056
2082,24gp1540057
276,24GP1540058
2115,24gp1540060
289,24GP1540060
2117,24gp15440056
1373,24GP1550001
135,24GP1570003
1194,24GP1570005
1945,24GP1570009
1275,24GP1570012
250,24GP1570014
547,24GP1570015
2174,24GP1570020
411,24GP1570022
1401,24GP1570026
552,24GP1570027
1402,24GP1570028
581,24GP1570034
326,24GP1570037
1955,24GP1570044
562,24GP1570048
1281,24GP1570050
670,24GP1570052
1279,24gp1570053
345,24GP1570056
555,24GP1590001
959,24GP1590002
538,24GP1590003
342,24GP1590004
834,24GP1590006
541,24GP1590009
1203,24GP1590011
53,24GP1590012
785,24GP1590013
561,24GP1590014
811,24GP1590015
967,24GP1590018
805,24GP1590021
549,24GP1590024
239,24GP160001
786,24GP1620006
1135,24GP1620008
420,24GP1920007
1077,24HR9310001
579,24HU2410002
1067,24HU2410003
1033,24HU2410004
1236,24HU2410007
164,24HU2410010
1215,24HU2410015
29,24HU2420003
2229,24hu2420004
1648,24HU2420004
601,24LU2710002
599,24LU2710003
344,24lu2720001
1197,24LU2720006
2219,24LU2720010
314,24LU2720014
2036,24LU2720017
300,24LU2720018
606,24LU2720024
2220,24lu2720026
460,24LU2720026
1517,24LU2720042
1208,24LU2730003
1529,24LU2730014
1114,24LU2730015
2076,24LU2730017
1054,24LU2730022
1216,24LU2730033
1218,24LU2730052
1765,24LU2730055
1761,24LU2730061
1764,24LU2730064
1759,24LU2730066
1052,24LU2730069
1414,24LU2730070
1947,24MP0960001
1380,24MP0970003
81,24MU0910003
1567,24MU0910004
792,24MU0910007
282,24MU091001
1341,24MU0910013
292,24MU0910017
364,24MU0950003
1326,24MU0950005
100,24MU0950006
412,24MU0950011
49,24MU0950015
765,24MU0950016
603,24MU0950022
358,24MU0950023
367,24MU0950024
1431,24MU0960001
2017,24MU0960002
1823,24MU0960003
1514,24MU0960011
719,24MU0970001
232,24MU0970002
842,24MU0970003
1330,24mu0970008
1383,24MU0970009
1729,24MU0970010
1512,24MU0970012
553,24MU0970013
132,24MU0970015
1021,24MU0970019
146,24MU0970020
1824,24MU0970021
1942,24mu0990001
1740,24P0020006
1151,24PU3010001
997,24PU3010003
1154,24PU3010004
1546,24PU3010005
1499,24PU3010007
523,24PU3010008
566,24PU3010009
1588,24PU3010011
1585,24PU3010013
1500,24PU3010014
1590,24PU3010018
386,24PU3010020
1415,24PU3010021
1317,24PU3010023
1158,24PU3010025
1314,24PU3010026
1437,24SI1510001
610,24SI1510002
1830,24SI2110002
1827,24SI2110003
1829,24si2110004
1826,24SI211003
2184,24si211004
1949,24SP2120001
1948,24SP2120004
1950,24SP2120005
2068,24sp2130002
2099,24SP2130002
1301,24SP2130004
1298,24SP2130005
1299,24SP213000523SP2130017
1300,24SP2130006
153,24SP2130007
2104,24SP2130009
277,24SP2130010
278,24SP2130011
1297,24SP2130013
1943,24SP2130014
888,24SP2130017
2230,24SP2130018
890,24SP2130019
2231,24sp2130021
293,24SP2130023
377,24SP2130030
482,24SP2130033
496,24SP2130035
907,24sp2130039
111,24SP2130041
379,24SP2130043
631,24SP2130046
1386,24SP2130047
1388,24SP2130049
378,24SP2130052
797,24SP2130054
2071,24sp2130056
488,24sp2130058
1902,24SU1510001
1139,24SU1510003
1900,24SU1510010
381,24su1510013
1877,24SU1510016
517,24SU1510018
1136,24SU1510019
2173,24SU1510021
1250,24SU1510023
1889,24SU1510028
1899,24SU1510032
1766,24SU1510033
1801,24SU1510035
1256,24su1510038
405,24SU1510040
409,24SU1510041
1996,24su1510045
1880,24SU1510050
63,24SU1510051
2317,24su1510057
2033,24su1510058
2132,24su1510059
307,24SU1510062
1178,24SU1510064
1398,24SU1510068
383,24SU1520002
64,24SU1520003
942,24SU1520004
1142,24SU1520005
1434,24SU1520006
89,24SU1520008
939,24SU1520010
162,24SU1520011
855,24SU1530002
2112,24SU1530003
1432,24SU1530006
259,24SU1530008
169,24SU1530009
356,24SU1530010
1150,24SU1530012
892,24SU1530014
244,24SU1530016
1346,24SU1530017
563,24SU1530018
389,24su1530024
57,24SU1530028
1622,24SU1530031
62,24SU1530037
894,24SU1530038
893,24SU1530039
716,24SU1530041
1327,24SU1530042
1674,24SU1530043
1675,24SU1530045
833,24SU1530049
209,24SU1530050
1763,24SU1530053
191,24SU1530059
59,24SU1530060
714,24SU1530061
708,24SU1530062
869,24SU1530067
242,24SU1530068
318,24SU1530070
1813,24SU1540002
1812,24SU1540004
66,24SU1540008
1811,24SU1540009
1487,24SU1540014
2005,24SU1540018
1491,24SU1540019
1489,24SU1540020
1490,24SU1540030
1483,24SU1540031
264,24SU1560001
2272,24SU1570001
196,24SU1580005
197,24SU1580006
130,24SU1580007
174,24SU210017
2095,24su2110001
401,24SU2110001
402,24SU2110004
712,24SU2110005
711,24SU2110006
717,24SU2110007
235,24SU2110013
772,24SU2110014
109,24SU2110015
1087,24SU2120002
457,24SU2120004
953,24SU2120012
461,24SU2120015
69,24SU2130002
1531,24SU2130006
1917,24SU2130007
1872,24SU2130016
85,24SU2140002
1200,24SU2140005
808,24SU2140007
1372,24SU2140009
1370,24SU2140010
126,24SU2140014
2303,24SU2140017
1842,24SU2140019
762,24SU2140020
1843,24SU2140021
1206,24SU2140024
1207,24SU2140026
2153,24su2140027
108,24SU2140027
703,24SU2200003
742,24SU2200010
700,24SU2200011
568,24SU2200012
1338,24SU2200014
2124,24SU2200018
565,24SU2200026
1541,24SU2200027
1544,24SU2200028
934,24SU2200035
1023,24SU2200036
1286,24SU2200038
1024,24SU2200042
1019,24SU2200043
930,24SU2200046
1538,24SU2200047
2018,24SU2200048
1537,24SU2200053
989,24SU2200058
503,24SU2200060
2297,24SU2200061
755,24SU2200067
2298,24su2200069
2086,24SU2240007
271,24SU2250003
22,24SU2270002
268,24su2270003
933,24SU2320001
876,24SU2320005
872,24Su2320007
2105,24SU2320007
223,24SU2330003
238,24SU2330006
454,24SU2330007
2289,24SU2330008
455,24SU2330009
220,24SU2330012
156,24SU2330013
70,24SU2330014
248,24SU2330015
1232,24SU2330016
440,24SU2330021
144,24SU2330025
179,24SU2330027
347,24SU2330028
1515,24SU2330029
216,24SU2330030
1953,24SU2330032
873,24SU2330033
47,24SU2330034
1093,24SU2330035
452,24SU2330037
1886,24SU2330038
247,24SU2330039
453,24SU2330042
2326,24SU2330043
65,24SU2330045
2290,24su2330046
605,24SU2330047
459,24SU2330048
1086,24SU2330052
2288,24su2330054
591,24SU2330054
2254,24su233005422312071
1382,24SU2330055
582,24SU2330057
463,24SU2330059
578,24SU2330060
2178,24su233007
449,24SU233008
1420,24SU2340001
2120,24SU2340005
1018,24SU2340010
1810,24SU2340011
653,24SU2340013
1016,24SU2340014
646,24SU2340016
1017,24SU2340018
650,24SU2340021
648,24SU2340023
1015,24SU2340024
2122,24su2340032
829,24SU2340033
895,24SU2350002
1457,24SU2350005
450,24SU2350006
129,24SU2350007
1471,24SU2350010
647,24SU2350011
1091,24SU2350012
952,24SU2350016
951,24SU235001624SU2350016
1595,24SU2350018
710,24SU2350019
438,24SU2350021
87,24SU2350022
147,24SU2350023
1564,24SU2350024
477,24SU2350027
882,24SU2350030
735,24SU2350031
902,24SU2350033
1426,24SU2350034
222,24SU2350035
1089,24SU2350036
883,24SU2350037
1429,24SU2350040
151,24SU2350041
973,24SU2350042
406,24SU2350043
403,24SU2350044
467,24SU2350047
524,24SU2350049
1596,24SU2350050
1798,24SU2350051
642,24SU2350052
644,24SU2350053
1269,24SU2350054
1088,24SU2350056
443,24su2350058
2107,24SU2350058
707,24SU2350061
901,24SU2350062
225,24SU2350063
878,24SU2350064
458,24SU2350069
2179,24su2350071
1799,24SU2350071
881,24SU2350072
904,24SU2350073
1672,24SU2350074
1992,24SU2350078
1671,24SU2350080
1267,24SU2350081
761,24SU2350084
669,24SU2350085
1057,24SU2360003
2306,24SU236000324SU2360003
224,24SU2360004
2057,24SU2360006
2088,24su2360008
1363,24SU2360008
2325,24SU2360012
1572,24SU2360013
1970,24SU2360017
1652,24SU2360018
1653,24SU236001824SU2360018
860,24SU2360020
2059,24su2360021
693,24su2360022
1239,24SU2360027
513,24SU2360029
1358,24Su2360032
1335,24SU2360034
723,24SU2360037
1928,24SU2360040
2197,24SU2360041
1371,24SU2360043
1210,24SU2360052
954,24SU2360054
1270,24SU2360055
138,24SU2360056
198,24SU2360060
1785,24SU2360061
2308,24SU2360062
689,24SU2360064
1376,24SU2360065
159,24SU2360068
1063,24SU2360069
1959,24SU2360071
988,24SU2360073
946,24SU2360076
509,24SU2360078
260,24SU2360079
995,24SU2360080
266,24SU2360081
602,24SU2360082
1783,24SU2360085
1973,24SU2360086
1219,24SU2360087
2121,24SU2360089
994,24SU2360093
1927,24SU2360095
1073,24SU2360096
1681,24SU2360097
993,24SU2360100
265,24SU2360102
1451,24SU2360106
996,24SU2360108
1362,24SU2360109
470,24SU2360110
1175,24SU2360112
207,24SU2360113
1454,24SU2360114
219,24SU2360115
990,24SU2360116
1470,24SU2360117
750,24SU2360120
1744,24SU2360134
1680,24SU2360135
1551,24SU2360136
1677,24SU2360142
1378,24SU2360146
1455,24SU2360148
1571,24SU2360161
615,24SU2360163
1656,24SU2360167
862,24SU2360170
865,24SU2360171
1409,24SU2360175
1410,24SU2360176
1554,24SU2360177
1085,24SU2360178
1944,24su2360182
1716,24SU2370003
751,24SU2370007
218,24SU2370013
537,24SU2370014
1221,24SU2380004
213,24SU2380006
924,24SU2380007
1866,24SU2380008
1108,24SU2380009
871,24SU2380011
1601,24SU2380013
1960,24SU2380014
1435,24SU2380015
1406,24SU2380020
1148,24SU2380021
1247,24SU2380022
1153,24SU2380023
1718,24SU2400002
161,24SU2400003
1408,24SU2400005
286,24SU2400007
1802,24SU2400010
1156,24SU2400011
1804,24SU2400012
1452,24SU2400016
1581,24SU2400017
447,24SU2400018
1714,24SU2400022
604,24SU2400023
78,24SU2400027
214,24SU2400029
97,24SU2400031
252,24SU2400034
255,24SU2400036
414,24SU2400037
540,24SU2400038
1082,24SU2400039
251,24SU2400040
1107,24SU2400047
868,24SU2400048
870,24SU2400049
2319,24su2400051
1713,24SU2400057
2214,24SU2400059
1149,24SU2400063
861,24SU2400065
671,24SU2400066
1583,24SU2400067
2126,24su2400068
